State,Year,Population,Murder Rate,Death Penalty
Alabama,1971,3479000,15.10000038,True
Arizona,1971,1849000,6.699999809,True
Arkansas,1971,1944000,10.5,True
California,1971,20223000,8.100000381,True
Colorado,1971,2283000,6.5,True
Connecticut,1971,3081000,3.099999905,True
Delaware,1971,558000,6.099999905,True
Florida,1971,7041000,13.30000019,True
Georgia,1971,4664000,16.0,True
Idaho,1971,732000,3.299999952,True
Illinois,1971,11196000,9.600000381,True
Indiana,1971,5274000,5.300000191,True
Iowa,1971,2852000,1.799999952,True
Kansas,1971,2258000,5.099999905,True
Kentucky,1971,3282000,10.89999962,True
Louisiana,1971,3681000,11.10000038,True
Maryland,1971,4000000,11.19999981,True
Massachuse,1971,5758000,3.799999952,True
Mississippi,1971,2226000,14.69999981,True
Missouri,1971,4749000,8.899999619,True
Montana,1971,708000,4.400000095,True
Nebraska,1971,1512000,2.599999905,True
Nevada,1971,507000,11.39999962,True
New Hampshire,1971,762000,2.200000048,True
New Jersey,1971,7300000,5.800000191,True
New Mexico,1971,1030000,12.0,True
New York,1971,18391000,9.899999619,True
North Carolina,1971,5146000,11.80000019,True
North Dakota,1971,625000,1.299999952,True
Ohio,1971,10778000,7.5,True
Oklahoma,1971,2610000,6.5,True
Oregon,1971,2158000,3.200000048,True
Pennsylvania,1971,11879000,6.199999809,True
Rhode Isla,1971,960000,3.0,True
South Carolina,1971,2627000,16.60000038,True
South Dakota,1971,670000,1.200000048,True
Tennessee,1971,3990000,12.39999962,True
Texas,1971,11460000,12.10000038,True
Utah,1971,1099000,2.700000048,True
Vermont,1971,458000,1.100000024,True
Virginia,1971,4714000,10.10000038,True
Washington,1971,3449000,3.799999952,True
West Virginia,1971,1752000,6.400000095,True
Wyoming,1971,340000,5.300000191,True
Alabama,1973,3539000,13.19999981,False
Arizona,1973,2058000,8.100000381,False
Arkansas,1973,2037000,8.800000191,False
California,1973,20601000,9.0,False
Colorado,1973,2437000,7.900000095,False
Connecticut,1973,3076000,3.299999952,False
Delaware,1973,576000,5.900000095,False
Florida,1973,7678000,15.39999962,False
Georgia,1973,4786000,17.39999962,False
Idaho,1973,770000,2.599999905,False
Illinois,1973,11236000,10.39999962,False
Indiana,1973,5316000,7.300000191,False
Iowa,1973,2904000,2.200000048,False
Kansas,1973,2279000,6.0,False
Kentucky,1973,3342000,9.699999809,False
Louisiana,1973,3764000,15.39999962,False
Maryland,1973,4070000,11.30000019,False
Massachuse,1973,5818000,4.400000095,False
Mississippi,1973,2281000,16.10000038,False
Missouri,1973,4757000,9.0,False
Montana,1973,721000,6.0,False
Nebraska,1973,1542000,4.300000191,False
Nevada,1973,548000,12.19999981,False
New Hampshire,1973,791000,2.099999905,False
New Jersey,1973,7361000,7.400000095,False
New Mexico,1973,1106000,11.80000019,False
New York,1973,18265000,11.19999981,False
North Carolina,1973,5273000,13.0,False
North Dakota,1973,640000,0.8000000119,False
Ohio,1973,10731000,7.300000191,False
Oklahoma,1973,2663000,6.599999905,False
Oregon,1973,2225000,4.900000095,False
Pennsylvania,1973,11902000,6.300000191,False
Rhode Isla,1973,973000,3.400000095,False
South Carolina,1973,2726000,14.39999962,False
South Dakota,1973,685000,3.799999952,False
Tennessee,1973,4126000,13.19999981,False
Texas,1973,11794000,12.80000019,False
Utah,1973,1157000,3.200000048,False
Vermont,1973,464000,2.200000048,False
Virginia,1973,4811000,10.5,False
Washington,1973,3429000,4.0,False
West Virginia,1973,1794000,5.699999809,False
Wyoming,1973,353000,6.800000191,False
